Flat profile:  (luke: total time 42.6 seconds)

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  9.76      0.04     0.04  7810500     0.00     0.00  luke::myNum::myNum(int, int)
  7.32      0.07     0.03  3705823     0.00     0.00  __gnu_cxx::__enable_if<std::__is_char<char>::__value, bool>::__type std::operator==<char>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  7.32      0.10     0.03  2021358     0.00     0.00  luke::ObjectHandler::Contact::involves(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  4.88      0.12     0.02  1524000     0.00     0.00  MjType::Sensor::ready_to_read(double)
  2.44      0.13     0.01  8204068     0.00     0.00  luke::myNum::~myNum()
  2.44      0.14     0.01  7010701     0.00     0.00  std::vector<double*, std::allocator<double*> >::operator[](unsigned long)
  2.44      0.15     0.01  2133894     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  2.44      0.16     0.01  2133670     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator*() const
  2.44      0.17     0.01  1088212     0.00     0.00  double* std::__niter_base<double*>(double*)
  2.44      0.18     0.01  1017287     0.00     0.00  luke::Gripper::get_x_step()
  2.44      0.19     0.01  1017287     0.00     0.00  luke::Gripper::calc_max_fingertip_angle()
  2.44      0.20     0.01  1017287     0.00     0.00  luke::Gripper::update_xy()
  2.44      0.21     0.01   609646     0.00     0.00  luke::Gripper::set_xy_m_rad(double, double)
  2.44      0.22     0.01   320040     0.00     0.00  luke::Forces::Gnd::~Gnd()
  2.44      0.23     0.01   320040     0.00     0.00  luke::Forces::Obj::~Obj()
  2.44      0.24     0.01   312420     0.00     0.00  luke::Forces::All::All()
  2.44      0.25     0.01   312420     0.00     0.00  luke::Forces::Obj::Obj()
  2.44      0.26     0.01   304823     0.00     0.00  luke::update_stepper(mjModel_ const*, mjData_*)
  2.44      0.27     0.01   304800     0.00     0.00  luke::control_gripper(mjModel_ const*, mjData_*, luke::Gripper&)
  2.44      0.28     0.01   304800     0.00     0.00  MjClass::step()
  2.44      0.29     0.01   146304     0.00     0.00  arma::Col<double>::Col(double*, unsigned long long, bool, bool)
  2.44      0.30     0.01   101594     0.00     0.00  luke::Gripper::step_to(luke::Gripper, int)
  2.44      0.31     0.01    97536     0.00     0.00  luke::SlidingWindow<float>::add(float)
  2.44      0.32     0.01    54864     0.00     0.00  void arma::arma_check<char*>(bool, char* const&)
  2.44      0.33     0.01    40189     0.00     0.00  float* std::__uninitialized_move_if_noexcept_a<float*, float*, std::allocator<float> >(float*, float*, float*, std::allocator<float>&)
