Flat profile: (luke: total time 47.6 seconds)

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 12.70      0.08     0.08  8830375     0.00     0.00  luke::myNum::myNum(int, int)
 11.11      0.15     0.07  6892500     0.00     0.00  luke::QPos::update(mjModel_ const*, mjData_ const*, int)
  6.35      0.19     0.04   344623     0.00     0.00  luke::update_state(mjModel_ const*, mjData_*)
  4.76      0.22     0.03 31215396     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  4.76      0.25     0.03  6893000     0.00     0.00  std::_Bit_reference::operator bool() const
  4.76      0.28     0.03  2298996     0.00     0.00  luke::ObjectHandler::Contact::involves(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  4.76      0.31     0.03     8615     0.00     0.01  luke::ObjectHandler::extract_forces_faster(mjModel_ const*, mjData_*)
  3.17      0.33     0.02  6894524     0.00     0.00  std::vector<luke::QPos, std::allocator<luke::QPos> >::operator[](unsigned long)
  3.17      0.35     0.02  6893044     0.00     0.00  std::_Bit_iterator::_Bit_iterator(unsigned long*, unsigned int)
  3.17      0.37     0.02   344623     0.00     0.00  luke::update_objects(mjModel_ const*, mjData_*)
  3.17      0.39     0.02   124056     0.00     0.00  arma::Mat<double>::init_warm(unsigned long long, unsigned long long)
  1.59      0.40     0.01 32738817     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
  1.59      0.41     0.01  9275285     0.00     0.00  luke::myNum::~myNum()
  1.59      0.42     0.01  6893080     0.00     0.00  std::_Bit_reference::_Bit_reference(unsigned long*, unsigned long)
  1.59      0.43     0.01  6893078     0.00     0.00  std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int)
  1.59      0.44     0.01  6893040     0.00     0.00  std::vector<bool, std::allocator<bool> >::operator[](unsigned long)
  1.59      0.45     0.01  2412270     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator++()
  1.59      0.46     0.01  1943544     0.00     0.00  void arma::arma_check<char [37]>(bool, char const (&) [37])
  1.59      0.47     0.01  1723000     0.00     0.00  MjType::Sensor::ready_to_read(double)
  1.59      0.48     0.01  1165391     0.00     0.00  luke::Gripper::get_x_step()
  1.59      0.49     0.01  1165391     0.00     0.00  luke::Gripper::update_xy()
  1.59      0.50     0.01  1033869     0.00     0.00  luke::Gripper::set_th_rad(double)
