XY pos,Real 160,Real 120,Real 100,Real 80,Sim 160,Sim 150,Sim 120,Sim 110,Sim 100,Sim 90,Sim 80,Sim 70
130,0,-0.0003,0,0,-0.0041,0.0049,0.0049,0.0049,0.0035,-0.0012,0.1045,-0.0051
128,0.0003,0,0.0007,0.0007,-0.0118,0.0115,0.0104,0.0104,-0.0083,-0.0118,0.0022,-0.0121
126,-0.0003,0,0.0003,0,-0.0255,-0.0054,-0.0038,-0.0038,-0.0148,-0.0244,0.0018,-0.023
124,0.0007,0,0.0003,0.0003,-0.0297,-0.0103,-0.0073,-0.0073,-0.0184,-0.0244,0.0008,-0.028
122,0.0053,-0.001,-0.0003,-0.0003,-0.0116,-0.0171,-0.0146,-0.0146,-0.0257,-0.0178,0.0002,-0.0329
120,0.008,-0.0003,0,0.0007,0.0948,-0.0237,-0.0209,-0.0209,-0.0304,-0.0106,0,-0.0299
118,0.0277,0,0,0.0003,0.1814,-0.0298,-0.028,-0.028,-0.0321,-0.0002,0.0046,-0.0251
116,0.0517,0.0003,0,0.0003,0.2761,0.063,-0.0318,-0.0318,-0.0296,0.0086,0.0104,-0.014
114,0.084,-0.0007,0.001,0.0007,0.3703,0.136,-0.0295,-0.0295,-0.0202,0.0063,0.0133,-0.005
112,0.1843,0,0.0003,0.0013,0.4647,0.2318,-0.0246,-0.0246,-0.0118,-0.0032,0.0008,0.0055
110,0.2813,0,0,0,0.5591,0.3261,-0.0136,-0.0136,-0.0008,-0.0128,-0.0047,0.0112
108,0.4037,0,0.0003,0.0003,0.6536,0.4207,-0.0047,-0.0047,0.0084,-0.0213,-0.0127,-0.0006
106,0.502,0,0,0.0003,0.7481,0.5143,0.0057,0.0057,0.006,-0.0284,-0.02,-0.0098
104,0.6353,0,-0.0003,0.0007,0.8427,0.6083,0.011,0.011,-0.0035,-0.0314,-0.0274,-0.0188
102,0.7353,-0.0007,-0.0003,0.0007,0.9373,0.7043,-0.0077,-0.0007,-0.0129,-0.0273,-0.0314,-0.0264
100,0.8567,0.0053,0,0.0007,1.0319,0.7987,0.0936,-0.0098,-0.0214,-0.0214,-0.0293,-0.0306
98,0.986,0.0083,0,0,1.1266,0.8932,0.1825,-0.0188,-0.0284,-0.0103,-0.0245,-0.0304
96,1.1097,0.0223,0.0003,0.0003,1.2214,0.9879,0.276,0.0603,-0.0315,-0.0013,-0.0135,-0.0226
94,1.2363,0.0713,0,0,1.3161,1.0826,0.3695,0.1344,-0.0273,0.0089,-0.0047,-0.0149
92,1.359,0.173,0.0013,0,1.4109,1.1771,0.4631,0.2289,-0.0017,0.0072,0.0057,-0.0038
90,1.498,0.2687,0.0007,-0.0003,1.5056,1.272,0.557,0.3222,0.0932,-0.0038,0.011,0.0053
88,1.616,0.392,0.0017,0.0003,1.6005,1.3667,0.6511,0.4157,0.1805,-0.0128,-0.0007,0.0095
86,1.7487,0.4867,0.0033,-0.0003,1.6952,1.4614,0.7453,0.5101,0.2732,0.0593,-0.0098,-0.0001
84,1.8457,0.6113,0.079,0.0003,1.7898,1.5561,0.8397,0.6036,0.3661,0.1326,-0.0176,-0.0099
82,1.9873,0.7297,0.146,-0.0003,1.8844,1.6509,0.9342,0.6986,0.4594,0.226,0.011,-0.0186
80,1.8363,0.857,0.2637,0.0007,1.979,1.7455,1.0287,0.7936,0.553,0.3185,0.0889,-0.0266
78,1.9403,0.974,0.3543,0.003,2.0735,1.8401,1.1233,0.8868,0.6468,0.4118,0.1737,-0.031
76,2.0367,1.0943,0.477,0.008,2.1679,1.9346,1.2178,0.9829,0.7409,0.5055,0.2654,0.0569
74,1.954,1.2327,0.5923,0.0623,2.2623,2.0291,1.3124,1.0774,0.8351,0.5991,0.3564,0.1284
72,2.0077,1.354,0.721,0.1453,2.3567,2.1236,1.4069,1.1721,0.9293,0.6936,0.4495,0.2196
70,2.0037,1.487,0.832,0.2297,2.4509,2.218,1.5014,1.2669,1.0235,0.7868,0.5421,0.3119
68,2.0917,1.6073,0.9603,0.3537,2.5452,2.3123,1.5959,1.3617,1.1178,0.8821,0.6335,0.404
66,2.0397,1.7503,1.0953,0.466,2.6394,2.4066,1.6903,1.4566,1.212,0.9762,0.7276,0.4966
64,1.956,1.857,1.216,0.5897,2.7334,2.5007,1.7847,1.5466,1.3063,1.0705,0.8202,0.589
62,1.931,1.9943,1.3473,0.7023,2.8274,2.5949,1.8791,1.645,1.4005,1.1649,0.9129,0.6814
60,2.0097,2.111,1.4693,0.831,2.9213,2.689,1.9734,1.739,1.4947,1.2592,1.0055,0.7735
58,2.156,1.9443,1.61,0.9627,3.0152,2.783,2.0677,1.8331,1.5887,1.3486,1.0983,0.8648
