XY pos,Real 160,Real 120,Real 100,Real 80,Sim 160,Sim 150,Sim 120,Sim 110,Sim 100,Sim 90,Sim 80,Sim 70
100,0.8567,0.0053,0,0.0007,1.0319,0.7987,0.0936,0.0142,-0.0214,0.0181,-0.0293,-0.0179
98,0.986,0.0083,0,0,1.1266,0.8932,0.1825,0.0196,-0.0284,0.0210,-0.0245,-0.0125
96,1.1097,0.0223,0.0003,0.0003,1.2214,0.9879,0.276,0.0679,-0.0315,-0.0159,-0.0135,-0.0020
94,1.2363,0.0713,0,0,1.3161,1.0826,0.3695,0.1749,-0.0273,-0.0204,-0.0047,0.0062
92,1.359,0.173,0.0013,0,1.4109,1.1771,0.4631,0.2894,-0.0017,-0.0236,0.0057,0.0142
90,1.498,0.2687,0.0007,-0.0003,1.5056,1.272,0.557,0.4067,0.0932,-0.0224,0.011,0.0196
88,1.616,0.392,0.0017,0.0003,1.6005,1.3667,0.6511,0.5252,0.1805,-0.0209,-0.0007,-0.0110
86,1.7487,0.4867,0.0033,-0.0003,1.6952,1.4614,0.7453,0.6445,0.2732,0.0223,-0.0098,-0.0180
84,1.8457,0.6113,0.079,0.0003,1.7898,1.5561,0.8397,0.7642,0.3661,0.1305,-0.0176,-0.0214
82,1.9873,0.7297,0.146,-0.0003,1.8844,1.6509,0.9342,0.8842,0.4594,0.2456,0.011,-0.0238
80,1.8363,0.857,0.2637,0.0007,1.979,1.7455,1.0287,1.0042,0.553,0.3644,0.0889,-0.0218
78,1.9403,0.974,0.3543,0.003,2.0735,1.8401,1.1233,1.1243,0.6468,0.4851,0.1737,-0.0087
76,2.0367,1.0943,0.477,0.008,2.1679,1.9346,1.2178,1.2443,0.7409,0.6066,0.2654,0.0555
74,1.954,1.2327,0.5923,0.0623,2.2623,2.0291,1.3124,1.3644,0.8351,0.7280,0.3564,0.1614
72,2.0077,1.354,0.721,0.1453,2.3567,2.1236,1.4069,1.4843,0.9293,0.8490,0.4495,0.2744
70,2.0037,1.487,0.832,0.2297,2.4509,2.218,1.5014,1.6042,1.0235,0.9701,0.5421,0.3902
68,2.0917,1.6073,0.9603,0.3537,2.5452,2.3123,1.5959,1.7170,1.1178,1.0917,0.6335,0.5071
66,2.0397,1.7503,1.0953,0.466,2.6394,2.4066,1.6903,1.8366,1.212,1.2131,0.7276,0.6244
64,1.956,1.857,1.216,0.5897,2.7334,2.5007,1.7847,1.9558,1.3063,1.3344,0.8202,0.7392
62,1.931,1.9943,1.3473,0.7023,2.8274,2.5949,1.8791,2.0742,1.4005,1.4556,0.9129,0.8547
60,2.0097,2.111,1.4693,0.831,2.9213,2.689,1.9734,2.1925,1.4947,1.5750,1.0055,0.9682
