XY pos,Real 80 EI1,Real 100 EI1,Real 120 EI1,Sim 70 EI1,Sim 80 EI1,Sim 90 EI1,Sim 100 EI1,Sim 110 EI1,Sim 120 EI1,Real 80 EI2,Real 100 EI2,Real 120 EI2,Sim 70 EI2,Sim 80 EI2,Sim 90 EI2,Sim 100 EI2,Sim 110 EI2,Sim 120 EI2,Real 80 EI3,Real 100 EI3,Real 120 EI3,Sim 70 EI3,Sim 80 EI3,Sim 90 EI3,Sim 100 EI3,Sim 110 EI3,Sim 120 EI3
130,0,0,0.000333333333333,-0.00158128,-8.67E-17,-0.00112578,-7.96E-17,-0.00593496,-9.62E-17,0,0,-0.0003,-0.0024,0.0000,0.0052,0.0000,0.0031,0.0000,-0.004333333333333,-0.000333333333333,-0.001333333333333,0.00506758,-8.93E-17,-0.00523213,-8.93E-17,0.00847666,-8.01E-17
128,0,0,0.001,-0.00069447,-0.00395829,-0.000266372,-0.0319247,-0.00346527,-0.0306234,0.0007,0.0007,0,-0.0009,-0.0105,0.0059,-0.0310,0.0038,-0.0305,-0.003666666666667,0,-0.000666666666667,0.00513963,-0.00775972,-0.00573724,0.0130447,0.00913474,0.00843232
126,-0.000666666666667,0,0.000333333333333,-0.003773,-0.0128398,0.00142207,-0.0177139,-0.00655095,-0.0203927,0,0.0003,0,-0.0001,0.0066,0.0107,-0.0131,0.004,-0.0196,-0.004,0.000333333333333,-0.001666666666667,0.00728578,-0.0144674,-0.00813375,0.00646039,0.014192,0.0132825
124,0,0.000666666666667,0.001,-0.00350621,-0.00834132,0.00192746,-0.0245886,-0.00481926,-0.0254361,0.0003,0.0003,0,0.0001,-0.0013,0.0148,-0.0006,0.0106,-0.0125,-0.004,0.000333333333333,-0.000666666666667,0.0156269,-0.016462,-0.00599407,0.00323284,0.0164185,0.0140154
122,-0.001,-0.000666666666667,0,-0.00381616,-0.00944607,0.001805,-0.0207596,-0.00582426,-0.0222403,-0.0003,-0.0003,-0.001,0.0001,-0.0127,0.0187,0.0098,0.0157,-0.0001,-0.003333333333333,0.000333333333333,-0.001,0.0190222,-0.0144358,0.00390915,0.00453187,0.00792732,0.014945
120,-0.000333333333333,0.000333333333333,0.000333333333333,-0.00387091,-0.00973717,0.00204941,-0.0231254,-0.0053727,-0.0244695,0.0007,0,-0.0003,0,-0.0248,0.022,-0.0088,0.0195,0.0038,-0.003333333333333,0.000666666666667,0.006,0.014483,-0.0150131,0.00783977,0.00442503,0.00318376,0.0148619
118,-0.000666666666667,0,0.000333333333333,-0.00383707,-0.00907579,0.00193928,-0.0215689,-0.00556158,-0.0228823,0.0003,0,0,-0.0003,-0.0219,-0.0161,-0.0167,-0.0108,-0.0068,-0.004333333333333,0,-0.001333333333333,0.0129092,-0.0146631,0.0147108,0.00463345,-0.000357556,0.0150943
116,-0.001333333333333,0,0.000333333333333,-0.00388628,-0.00972018,0.00201013,-0.0226282,-0.00550376,-0.024012,0.0003,0,0.0003,0.0018,-0.0114,-0.0213,-0.0253,-0.0178,-0.0231,-0.004333333333333,0,0,0.00898716,-0.014967,0.0165368,0.00443313,-0.0082927,0.0150099
114,0.000333333333333,-0.000333333333333,-0.000333333333333,-0.00385961,-0.00919976,0.00198138,-0.0218948,-0.00551289,-0.023211,0.0007,0.001,-0.0007,0.0149,-0.0006,-0.0225,-0.0194,-0.0223,-0.0227,-0.004666666666667,0.000333333333333,-0.000666666666667,0.0041253,-0.0147754,0.0172597,0.00454205,-0.0121847,0.0150843
112,0,0.000333333333333,0.000666666666667,-0.00387576,-0.00959035,0.00199387,-0.0224069,-0.00551933,-0.0237771,0.0013,0.0003,0,0.0201,0.0038,-0.0235,-0.0056,-0.0227,-0.0167,-0.003333333333333,0.000666666666667,-0.000666666666667,-0.000951863,-0.0148906,0.0133216,0.0044774,-0.00145112,0.0150439
