XY pos,Real 80 EI1,Real 100 EI1,Real 120 EI1,Sim 80 EI1,Sim 100 EI1,Sim 120 EI1,Real 80 EI2,Real 100 EI2,Real 120 EI2,Sim 80 EI2,Sim 100 EI2,Sim 120 EI2,Real 80 EI3,Real 100 EI3,Real 120 EI3,Sim 80 EI3,Sim 100 EI3,Sim 120 EI3
130,0,0,0.000333333333333,-8.83E-17,-9.44E-17,-9.44E-17,0,0,-0.0003,-8.35E-17,-9.32E-17,-8.35E-17,-0.004333333333333,-0.000333333333333,-0.001333333333333,-7.43E-17,-9.56E-17,-9.13E-17
128,0,0,0.001,-0.00547979,-0.0160787,0.00484683,0.0007,0.0007,0,0.023156,0.011678,-0.0162554,-0.003666666666667,0,-0.000666666666667,0.00723024,0.0254674,-0.0103883
126,-0.000666666666667,0,0.000333333333333,-0.0114271,-0.0127533,-0.00128114,0,0.0003,0,0.0139582,-0.00905431,0.0189599,-0.004,0.000333333333333,-0.001666666666667,-0.000757483,0.0213772,-0.0176852
124,0,0.000666666666667,0.001,-0.0109177,-0.0110745,-0.00183189,0.0003,0.0003,0,-0.0158552,0.0112261,0.0331758,-0.004,0.000333333333333,-0.000666666666667,-0.00319749,0.0185805,-0.0187092
122,-0.001,-0.000666666666667,0,-0.00974376,-0.0118472,-0.000558521,-0.0003,-0.0003,-0.001,0.0134475,0.0316391,0.0218442,-0.003333333333333,0.000333333333333,-0.001,-0.0019253,0.0186748,-0.0171123
120,-0.000333333333333,0.000333333333333,0.000333333333333,-0.0101786,-0.011932,-0.000827012,0.0007,0,-0.0003,0.033447,0.0285273,-0.00878301,-0.003333333333333,0.000666666666667,0.006,-0.00199099,0.0190249,-0.0174717
118,-0.000666666666667,0,0.000333333333333,-0.0102064,-0.0118146,-0.000911359,0.0003,0,0,0.0278804,0.00632622,0.00505484,-0.004333333333333,0,-0.001333333333333,-0.0018588,0.0190081,-0.0172848
116,-0.001333333333333,0,0.000333333333333,-0.0101619,-0.0118226,-0.000874756,0.0003,0,0.0003,-0.000515635,-0.0231418,0.0308567,-0.004333333333333,0,0,-0.00201115,0.0189941,-0.0174741
114,0.000333333333333,-0.000333333333333,-0.000333333333333,-0.010159,-0.0118376,-0.000864458,0.0007,0.001,-0.0007,-0.00394457,0.0213717,0.0321101,-0.004666666666667,0.000333333333333,-0.000666666666667,-0.00192915,0.01898,-0.0173553
112,0,0.000333333333333,0.000666666666667,-0.010168,-0.0118338,-0.000873099,0.0013,0.0003,0,0.0261543,0.0340455,0.00792836,-0.003333333333333,0.000666666666667,-0.000666666666667,-0.00197558,0.0189896,-0.0174238
